City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ushuaia,40,AR,1584412880,61,-54.8,-68.3,46.4,33.33
1,hermanus,44,ZA,1584412992,67,-34.42,19.23,66.0,1.01
2,avarua,100,CK,1584412992,94,-21.21,-159.78,80.6,12.75
3,cabo san lucas,20,MX,1584412719,56,22.89,-109.91,71.6,5.82
4,yumen,0,CN,1584412993,12,40.28,97.2,48.25,21.61
5,hilo,75,US,1584412770,78,19.73,-155.09,75.99,9.17
6,mar del plata,0,AR,1584412993,82,-38.0,-57.56,64.0,4.7
7,tura,0,IN,1584412994,27,25.52,90.22,83.41,3.2
8,butaritari,60,KI,1584412994,75,3.07,172.79,83.82,9.44
9,huarmey,99,PE,1584412994,68,-10.07,-78.15,74.57,2.13
10,kapaa,90,US,1584412994,94,22.08,-159.32,73.4,14.99
11,castro,99,BR,1584412995,97,-24.79,-50.01,63.72,2.64
12,hithadhoo,61,MV,1584412995,71,-0.6,73.08,83.95,11.48
13,olinda,40,BR,1584412995,78,-8.01,-34.86,82.4,1.12
14,punta arenas,71,CL,1584412996,66,-53.15,-70.92,48.2,23.04
15,narsaq,0,GL,1584412791,56,60.92,-46.05,14.0,3.36
16,puerto ayora,76,EC,1584412996,82,-0.74,-90.35,79.0,4.0
17,saint paul harbor,90,US,1584412996,75,57.79,-152.41,41.0,6.93
18,vardø,100,NO,1584412996,81,70.37,31.11,25.02,29.44
19,provideniya,90,RU,1584412717,86,64.38,-173.3,30.2,13.42
20,bengkulu,20,ID,1584412775,54,-3.8,102.27,89.4,1.21
21,são filipe,0,CV,1584412997,75,14.9,-24.5,67.87,16.49
22,aklavik,75,CA,1584412711,79,68.22,-135.01,21.2,10.29
23,toora-khem,0,RU,1584412997,70,52.47,96.11,30.56,4.14
24,bethel,75,US,1584412833,69,41.37,-73.41,39.99,9.17
25,humboldt,75,US,1584412998,75,40.67,-123.92,48.99,2.33
26,busselton,30,AU,1584412998,71,-33.65,115.33,70.0,7.0
27,mogadishu,97,SO,1584412998,82,2.04,45.34,83.12,19.82
28,souillac,75,MU,1584412842,94,-20.52,57.52,75.2,9.17
29,yar-sale,100,RU,1584412816,94,66.83,70.83,20.55,15.48
30,labuhan,10,ID,1584412998,72,-6.88,112.21,84.87,6.02
31,carnarvon,40,AU,1584412999,65,-24.87,113.63,78.8,17.22
32,hasaki,75,JP,1584412999,36,35.73,140.83,50.0,4.7
33,ust'-omchug,100,RU,1584412999,87,61.15,149.63,3.42,7.56
34,wajima,75,JP,1584412999,56,37.4,136.9,41.0,5.82
35,duluth,90,US,1584412999,46,46.78,-92.11,32.0,18.34
36,ulladulla,40,AU,1584412990,43,-35.35,150.47,73.4,9.17
37,salalah,75,OM,1584412871,73,17.02,54.09,77.0,3.36
38,mpongwe,100,ZM,1584413000,98,-13.51,28.16,63.05,3.62
39,‘ewa beach,90,US,1584413000,88,21.32,-158.01,78.8,13.87
40,kiryat gat,75,IL,1584413000,82,31.61,34.76,59.0,4.7
41,iqaluit,90,CA,1584413001,71,63.75,-68.51,6.8,13.87
42,coyhaique,20,CL,1584412767,81,-45.58,-72.07,53.6,2.24
43,meulaboh,26,ID,1584412852,79,4.14,96.13,81.37,5.97
44,rikitea,55,PF,1584413001,81,-23.12,-134.97,80.71,10.45
45,muros,20,ES,1584413001,87,42.78,-9.06,51.01,5.82
46,la ronge,20,CA,1584412720,47,55.1,-105.28,14.0,11.41
47,mizusawa,75,JP,1584413002,52,39.13,141.13,42.8,9.17
48,ekhabi,100,RU,1584413002,82,53.51,142.97,20.26,7.36
49,nouadhibou,100,MR,1584413002,72,20.93,-17.03,64.4,21.92
50,kabompo,100,ZM,1584413002,98,-13.59,24.2,65.41,4.09
51,pevek,94,RU,1584413002,78,69.7,170.31,27.45,23.15
52,angren,100,UZ,1584413003,50,41.02,70.14,53.76,4.34
53,mataura,43,NZ,1584413003,77,-46.19,168.86,52.0,3.0
54,ucluelet,0,CA,1584413003,79,48.93,-125.55,46.0,3.2
55,cidreira,89,BR,1584412718,81,-30.18,-50.21,72.64,11.86
56,khashuri,100,GE,1584413003,95,41.99,43.6,25.02,4.27
57,vestmannaeyjar,100,IS,1584413003,77,63.44,-20.27,41.22,16.82
58,jamestown,90,US,1584413004,86,42.1,-79.24,41.0,11.41
59,faanui,40,PF,1584412736,71,-16.48,-151.75,83.23,6.71
60,padang,100,ID,1584413004,62,-0.95,100.35,82.11,3.0
61,port lincoln,100,AU,1584413004,24,-34.73,135.87,83.41,11.92
62,oranjemund,0,NA,1584412824,89,-28.55,16.43,61.81,2.75
63,sulangan,0,PH,1584413004,69,11.14,123.72,80.47,7.38
64,nikolskoye,0,RU,1584412731,92,59.7,30.79,30.0,2.24
65,tula,100,RU,1584413005,63,54.2,37.61,31.06,12.5
66,muslyumovo,0,RU,1584413005,86,55.3,53.19,21.52,11.16
67,atuona,67,PF,1584412710,67,-9.8,-139.03,82.56,10.38
68,kodyma,99,UA,1584413005,59,48.1,29.12,32.0,8.7
69,tūkrah,0,LY,1584412786,74,32.53,20.58,53.1,29.8
70,esperance,40,AU,1584413006,51,-33.87,121.9,80.6,11.41
71,dingle,1,PH,1584412727,54,11.0,122.67,85.3,11.77
72,motygino,100,RU,1584413006,90,58.18,94.76,14.09,16.82
73,qaanaaq,9,GL,1584413006,65,77.48,-69.36,-10.08,13.6
74,yellowknife,90,CA,1584412829,53,62.46,-114.35,-5.01,5.82
75,half moon bay,75,US,1584413006,71,37.46,-122.43,52.0,6.93
76,cururupu,100,BR,1584412766,99,-1.83,-44.87,73.35,1.23
77,‘āhuimanu,90,US,1584413007,69,21.44,-157.84,78.8,5.82
78,bonfim,73,BR,1584413007,58,3.08,-59.95,83.82,7.74
79,hammond,90,US,1584413007,100,41.58,-87.5,39.2,4.7
80,port hedland,0,AU,1584413008,44,-20.32,118.57,96.8,4.7
81,lebu,7,CL,1584412810,80,-37.62,-73.65,56.97,7.27
82,kavaratti,20,IN,1584413008,74,10.57,72.64,82.4,7.31
83,samarinda,54,ID,1584413008,52,-0.5,117.15,90.03,5.88
84,bredasdorp,28,ZA,1584413008,82,-34.53,20.04,60.8,8.05
85,karatuzskoye,100,RU,1584413008,71,53.61,92.87,33.64,7.23
86,yeppoon,20,AU,1584413009,48,-23.13,150.73,82.4,11.41
87,siuna,81,NI,1584413009,81,13.73,-84.78,72.77,3.4
88,deder,100,ET,1584413009,82,9.32,41.45,66.52,1.32
89,sunland park,1,US,1584413009,22,31.8,-106.58,69.8,3.36
90,nouna,75,BF,1584413009,36,12.73,-3.87,88.0,3.8
91,kuusamo,89,FI,1584413010,92,65.97,29.18,12.2,1.12
92,tateyama,75,JP,1584412788,53,34.98,139.87,53.01,11.41
93,east london,22,ZA,1584413010,78,-33.02,27.91,65.41,20.13
94,margate,47,GB,1584413010,93,51.38,1.39,44.01,6.93
95,new norfolk,67,AU,1584413011,37,-42.78,147.06,75.0,8.05
96,albany,90,US,1584413011,51,42.6,-73.97,39.2,10.29
97,sassandra,100,CI,1584413011,91,4.95,-6.08,78.28,6.35
98,tarakan,1,ID,1584413011,64,3.3,117.63,84.16,3.49
99,hobart,12,AU,1584413011,37,-42.88,147.33,75.0,8.05
100,cape town,31,ZA,1584412933,77,-33.93,18.42,66.0,1.12
101,saint-philippe,75,RE,1584413012,88,-21.36,55.77,75.2,4.7
102,ribeira grande,91,PT,1584413012,87,38.52,-28.7,58.08,11.48
103,touros,75,BR,1584413012,94,-5.2,-35.46,77.0,2.24
104,belmonte,40,BR,1584413012,83,-15.86,-38.88,77.0,2.24
105,bjæverskov,0,DK,1584413012,93,55.46,12.04,39.99,6.93
106,coahuayana viejo,75,MX,1584413013,78,18.73,-103.68,73.4,4.05
107,salto,0,UY,1584413013,72,-31.38,-57.97,73.99,10.0
108,arraial do cabo,100,BR,1584412715,86,-22.97,-42.03,78.42,21.21
109,shache,52,CN,1584413013,68,38.42,77.24,48.0,1.99
110,port alfred,2,ZA,1584412905,80,-33.59,26.89,64.99,8.01
111,dinguiraye,50,GN,1584413014,17,11.3,-10.72,76.66,4.68
112,cortez,90,US,1584413014,34,37.35,-108.59,50.0,5.82
113,avera,90,US,1584413014,77,33.19,-82.53,60.8,4.7
114,poum,1,NC,1584413014,79,-20.23,164.02,80.35,18.3
115,tiksi,100,RU,1584413015,94,71.69,128.87,-3.64,5.73
116,walvis bay,23,NA,1584413015,93,-22.96,14.51,61.0,3.36
117,luanda,100,AO,1584413015,73,-8.84,13.23,81.3,4.03
118,antofagasta,20,CL,1584412763,82,-23.65,-70.4,64.4,4.7
119,thompson,75,CA,1584412826,65,55.74,-97.86,5.0,12.75
120,carutapera,100,BR,1584413016,82,-1.2,-46.02,78.8,11.68
121,luangwa,81,ZM,1584413016,91,-15.62,30.42,70.2,4.12
122,emerald,0,AU,1584413016,42,-23.53,148.17,84.0,10.29
123,barrow,40,US,1584412819,84,71.29,-156.79,8.6,6.93
124,amontada,100,BR,1584413017,94,-3.36,-39.83,73.85,1.01
125,xining,0,CN,1584412787,38,36.62,101.77,38.23,4.34
126,ekpoma,100,NG,1584413017,86,6.74,6.14,79.05,4.09
127,farīdpur,20,BD,1584413017,64,23.6,89.83,75.2,3.36
128,hualmay,100,PE,1584413017,72,-11.1,-77.61,73.36,2.89
129,chui,0,UY,1584413017,76,-33.7,-53.46,63.88,7.47
130,atambua,2,ID,1584413018,66,-9.11,124.89,83.84,6.02
131,cam ranh,40,VN,1584413018,79,11.92,109.16,86.0,11.41
132,saint-estève,40,FR,1584412924,93,42.71,2.84,53.01,3.36
133,salas,40,ES,1584413018,87,43.41,-6.26,46.99,3.36
134,ponta delgada,20,PT,1584413018,87,37.73,-25.67,55.4,2.24
135,moyo,89,UG,1584413019,80,3.66,31.72,71.31,0.94
136,leningradskiy,100,RU,1584413019,81,69.38,178.42,26.15,9.26
137,vaini,75,TO,1584413018,74,-21.2,-175.2,87.8,21.92
138,san quintín,7,MX,1584412784,69,30.48,-115.95,57.18,5.44
139,baculin,76,PH,1584413019,64,7.45,126.58,81.57,6.4
140,tyukhtet,100,RU,1584413019,86,56.54,89.3,22.14,12.01
141,quatre cocos,75,MU,1584413020,94,-20.21,57.76,75.2,9.17
142,kavieng,32,PG,1584412832,72,-2.57,150.8,84.36,10.07
143,mossamedes,99,AO,1584412874,83,-15.2,12.15,74.61,7.9
144,mount gambier,87,AU,1584413020,26,-37.83,140.77,80.6,17.22
145,donghai,100,CN,1584413020,65,22.95,115.64,70.0,4.74
146,bluff,51,NZ,1584412809,77,-46.6,168.33,52.0,3.0
147,vila franca do campo,20,PT,1584412817,87,37.72,-25.43,55.4,2.24
148,khatanga,0,RU,1584413021,95,71.97,102.5,-25.94,8.19
149,shitanjing,0,CN,1584413021,12,39.23,106.34,51.8,2.44
150,poniatowa,61,PL,1584413021,73,51.18,22.13,45.0,5.95
151,shingū,40,JP,1584413022,57,33.73,135.98,50.0,5.82
152,ilulissat,28,GL,1584412818,48,69.22,-51.1,-4.0,13.87
153,pacific grove,1,US,1584413022,62,36.62,-121.92,53.01,13.85
154,hirson,21,FR,1584413022,87,49.92,4.08,45.0,3.36
155,faya,33,SA,1584413022,77,18.39,42.45,62.6,6.93
156,taoudenni,78,ML,1584413023,12,22.68,-3.98,69.53,8.46
157,nouakchott,67,MR,1584413023,77,18.09,-15.98,68.0,12.75
158,lata,20,PT,1584413023,66,40.16,-8.33,51.01,10.29
159,naze,75,JP,1584413023,55,28.37,129.48,62.6,4.7
160,pisco,40,PE,1584413023,78,-13.7,-76.22,73.4,18.34
161,katsuura,75,JP,1584412794,45,35.13,140.3,51.01,4.7
162,gainesville,94,US,1584413024,100,29.65,-82.32,73.4,8.05
163,acapulco de juárez,20,MX,1584413024,74,16.86,-99.89,82.4,5.82
164,okhotsk,11,RU,1584413024,67,59.38,143.3,10.65,14.2
165,cayenne,20,GF,1584412752,83,4.93,-52.33,78.8,3.36
166,george town,20,MY,1584413024,55,5.41,100.34,86.0,6.93
167,karratha,0,AU,1584413024,68,-20.74,116.85,86.45,10.42
168,puerto escondido,0,MX,1584412837,80,15.85,-97.07,71.29,3.83
169,calvinia,47,ZA,1584413025,55,-31.47,19.78,66.2,6.93
170,yerbogachën,100,RU,1584413025,96,61.28,108.01,29.17,7.63
171,mareeba,90,AU,1584413025,83,-17.0,145.43,81.0,13.87
172,chokurdakh,0,RU,1584413025,88,70.63,147.92,-9.94,1.07
173,xalpatlahuac,0,MX,1584413026,76,17.47,-98.62,62.33,7.49
174,villamontes,76,BO,1584413026,89,-21.25,-63.5,70.47,2.59
175,erzin,75,TR,1584413026,100,36.96,36.2,53.6,11.41
176,pangnirtung,100,CA,1584412892,95,66.15,-65.71,-7.6,7.87
177,saskylakh,10,RU,1584412822,91,71.92,114.08,-27.56,14.65
178,clifton,90,US,1584413026,65,40.86,-74.16,42.8,8.05
179,grindavik,90,IS,1584413027,90,63.84,-22.43,33.8,14.99
180,buin,0,CL,1584413027,67,-33.73,-70.75,60.8,12.75
181,nabire,44,ID,1584413027,75,-3.37,135.48,83.75,2.98
